city_id,city,state,year,total_pop,male_pop,female_pop,age_under_20,age_20-29,age_30-39,age_40-49,age_50-59,age_above_60,city_state
0,Anchorage,AK,2018,291538,148668,142870,27.1,16.0,15.0,12.2,13.0,16.6,"Anchorage, AK"
1,Chandler,AZ,2018,257153,126583,130570,27.0,12.8,15.3,14.6,13.3,17.2,"Chandler, AZ"
2,Gilbert,AZ,2018,248269,120840,127429,33.0,10.3,14.2,16.0,11.2,15.4,"Gilbert, AZ"
3,Glendale,AZ,2018,250705,124205,126500,28.9,14.5,13.4,12.7,11.4,19.1,"Glendale, AZ"
4,Mesa,AZ,2018,508979,250913,258066,26.9,14.4,13.7,12.1,11.1,21.8,"Mesa, AZ"
5,Phoenix,AZ,2018,1660272,824568,835704,28.4,15.8,14.7,13.3,11.8,15.9,"Phoenix, AZ"
6,Scottsdale,AZ,2018,255315,126458,128857,17.4,12.9,11.3,13.2,14.8,30.4,"Scottsdale, AZ"
7,Tucson,AZ,2018,545987,268484,277503,25.200000000000006,19.8,12.8,11.3,10.6,20.1,"Tucson, AZ"
8,Anaheim,CA,2018,352018,170041,181977,27.5,15.0,16.3,12.6,11.8,16.7,"Anaheim, CA"
9,Bakersfield,CA,2018,383601,192252,191349,32.3,15.9,14.2,11.9,10.1,15.6,"Bakersfield, CA"
10,Fresno,CA,2018,530073,261641,268432,31.1,16.5,14.0,11.4,11.1,16.0,"Fresno, CA"
11,Long Beach,CA,2018,467353,230683,236670,23.2,16.9,16.0,12.6,13.5,17.6,"Long Beach, CA"
12,Los Angeles,CA,2018,3990469,1995286,1995183,22.8,16.9,16.5,13.2,12.3,18.1,"Los Angeles, CA"
13,Oakland,CA,2018,429114,204202,224912,21.1,15.2,19.3,14.2,11.6,18.8,"Oakland, CA"
14,Sacramento,CA,2018,508517,247463,261054,25.7,15.9,16.6,12.5,10.6,18.7,"Sacramento, CA"
15,San Diego,CA,2018,1425999,719960,706039,22.8,17.3,16.799999999999994,12.7,11.7,18.6,"San Diego, CA"
16,San Francisco,CA,2018,883305,450985,432320,15.2,17.0,20.8,13.7,11.8,21.6,"San Francisco, CA"
17,San Jose,CA,2018,1030119,515713,514406,24.200000000000006,14.3,16.0,14.0,12.9,18.6,"San Jose, CA"
18,Santa Ana,CA,2018,332727,173527,159200,28.2,18.5,15.3,12.2,11.8,13.9,"Santa Ana, CA"
19,Aurora,CO,2018,373487,184950,188537,26.1,15.0,15.6,14.5,11.7,17.1,"Aurora, CO"
20,Colorado Springs,CO,2018,472666,235360,237306,26.5,16.1,14.5,12.3,12.0,18.6,"Colorado Springs, CO"
21,Denver,CO,2018,716492,358836,357656,21.6,17.9,20.4,13.4,10.3,16.4,"Denver, CO"
22,Washington,DC,2018,702455,334208,368247,21.3,19.2,20.5,11.6,10.4,17.0,"Washington, DC"
23,Fort Lauderdale,FL,2018,182611,94013,88598,17.299999999999994,13.4,12.3,14.5,16.2,26.4,"Fort Lauderdale, FL"
24,Jacksonville,FL,2018,903896,436155,467741,25.3,15.3,14.7,12.3,13.0,19.4,"Jacksonville, FL"
25,Miami,FL,2018,470911,233853,237058,19.1,13.1,17.0,14.3,13.4,23.1,"Miami, FL"
26,Orlando,FL,2018,285705,132334,153371,21.2,19.5,19.9,12.2,10.8,16.5,"Orlando, FL"
27,St. Petersburg,FL,2018,265100,128379,136721,19.5,15.0,14.3,11.4,15.5,24.1,"St. Petersburg, FL"
28,Tallahassee,FL,2018,193550,91252,102298,25.1,30.1,11.8,9.8,8.3,14.9,"Tallahassee, FL"
29,Tampa,FL,2018,392905,192670,200235,25.9,15.8,16.7,12.5,12.1,17.2,"Tampa, FL"
30,Atlanta,GA,2018,498073,245352,252721,22.6,21.200000000000006,17.5,11.6,11.4,15.7,"Atlanta, GA"
31,Augusta,GA,2018,196138,93254,102884,26.3,16.8,14.0,10.9,10.9,21.1,"Augusta, GA"
32,Honolulu,HI,2018,347403,176513,170890,19.9,15.2,13.1,12.9,12.3,26.700000000000006,"Honolulu, HI"
33,Des Moines,IA,2018,216993,105590,111403,28.4,16.2,13.5,12.6,12.6,16.8,"Des Moines, IA"
34,Boise,ID,2018,228807,114632,114175,22.2,15.3,16.5,12.4,12.1,21.6,"Boise, ID"
35,Chicago,IL,2018,2705988,1319875,1386113,22.6,18.1,16.9,12.4,11.6,18.3,"Chicago, IL"
36,Indianapolis,IN,2018,864131,415501,448630,26.9,16.1,14.9,11.7,12.3,18.1,"Indianapolis, IN"
37,Wichita,KS,2018,389259,192356,196903,27.5,15.1,12.8,11.5,12.3,20.8,"Wichita, KS"
38,Lexington,KY,2018,323780,158158,165622,24.0,19.200000000000006,14.5,11.4,11.9,18.8,"Lexington, KY"
39,Louisville,KY,2018,620149,302893,317256,25.1,14.5,13.2,12.3,12.9,22.1,"Louisville, KY"
40,Baton Rouge,LA,2018,221606,106292,115314,25.9,20.9,11.7,10.9,9.8,20.8,"Baton Rouge, LA"
41,New Orleans,LA,2018,391006,185255,205751,22.3,15.0,17.0,11.6,13.2,21.1,"New Orleans, LA"
42,Shreveport,LA,2018,189149,88563,100586,26.0,14.8,14.0,10.6,11.3,23.1,"Shreveport, LA"
43,Boston,MA,2018,695926,333815,362111,20.3,24.3,18.0,10.2,10.6,16.5,"Boston, MA"
44,Baltimore,MD,2018,602495,282677,319818,23.3,16.8,16.1,11.1,12.1,20.6,"Baltimore, MD"
45,Detroit,MI,2018,672681,316529,356152,27.4,16.5,11.9,12.1,11.9,20.2,"Detroit, MI"
46,Minneapolis,MN,2018,425395,214813,210582,23.8,21.5,19.3,10.8,9.4,15.3,"Minneapolis, MN"
47,Kansas City,MO,2018,491809,240320,251489,24.9,16.4,15.8,11.3,12.4,19.2,"Kansas City, MO"
48,St. Louis,MO,2018,302838,146922,155916,20.700000000000006,18.1,15.9,12.2,12.0,20.9,"St. Louis, MO"
49,Charlotte,NC,2018,872506,421513,450993,25.500000000000004,16.4,16.6,13.6,11.9,15.999999999999998,"Charlotte, NC"
50,Durham,NC,2018,274497,129912,144585,24.2,17.2,17.3,12.6,10.9,17.7,"Durham, NC"
51,Greensboro,NC,2018,294726,138206,156520,25.7,16.1,14.7,11.5,12.3,19.7,"Greensboro, NC"
52,Raleigh,NC,2018,470509,228779,241730,24.2,18.2,16.2,13.5,11.5,16.0,"Raleigh, NC"
53,Winston Salem,NC,2018,246334,117797,128537,27.4,15.4,12.6,12.6,12.4,19.500000000000004,"Winston Salem, NC"
54,Lincoln,NE,2018,287399,144380,143019,26.4,19.8,13.5,11.5,10.6,18.4,"Lincoln, NE"
55,Omaha,NE,2018,468267,232016,236251,27.4,15.2,14.3,11.6,12.1,19.4,"Omaha, NE"
56,Newark,NJ,2018,282102,136968,145134,27.3,16.1,15.8,12.6,12.8,15.2,"Newark, NJ"
57,Albuquerque,NM,2018,560234,273480,286754,24.1,14.8,15.0,11.6,12.7,21.7,"Albuquerque, NM"
58,Henderson,NV,2018,310374,151415,158959,24.0,11.0,12.6,13.9,13.3,25.3,"Henderson, NV"
59,Las Vegas,NV,2018,644664,321489,323175,26.1,13.3,13.0,14.3,12.2,21.0,"Las Vegas, NV"
60,Reno,NV,2018,250989,125566,125423,23.0,16.9,13.9,12.2,11.6,22.300000000000004,"Reno, NV"
61,Buffalo,NY,2018,256322,123429,132893,26.9,17.6,14.6,11.2,11.2,18.5,"Buffalo, NY"
62,New York,NY,2018,8398748,4003933,4394815,22.9,15.6,15.8,12.7,12.5,20.5,"New York, NY"
63,Rochester,NY,2018,206290,99175,107115,25.6,21.0,14.4,10.9,11.5,16.6,"Rochester, NY"
64,Syracuse,NY,2018,142740,68926,73814,29.2,20.0,12.8,10.8,10.5,16.8,"Syracuse, NY"
65,Akron,OH,2018,198025,96018,102007,24.200000000000006,17.1,12.9,10.8,12.5,22.4,"Akron, OH"
66,Cincinnati,OH,2018,302615,146754,155861,25.4,19.6,14.6,10.5,11.2,18.7,"Cincinnati, OH"
