city,state,year,unemployment_rate,rank,city_state
Logan,UT,2020,2.7,1,"Logan, UT"
Logan,ID,2020,2.7,1,"Logan, ID"
Idaho Falls,ID,2020,3.1,2,"Idaho Falls, ID"
Provo,UT,2020,3.6,3,"Provo, UT"
Orem,UT,2020,3.6,3,"Orem, UT"
Ogden,UT,2020,4.0,4,"Ogden, UT"
Clearfield,UT,2020,4.0,4,"Clearfield, UT"
Twin Falls,ID,2020,4.4,5,"Twin Falls, ID"
Pocatello,ID,2020,4.5,6,"Pocatello, ID"
Bismarck,ND,2020,4.9,7,"Bismarck, ND"
Ames,IA,2020,5.0,8,"Ames, IA"
Lincoln,NE,2020,5.0,8,"Lincoln, NE"
Amarillo,TX,2020,5.1,10,"Amarillo, TX"
Boise,ID,2020,5.1,10,"Boise, ID"
Columbia,MO,2020,5.1,10,"Columbia, MO"
Fargo,ND,2020,5.1,10,"Fargo, ND"
Fargo,MN,2020,5.1,10,"Fargo, MN"
St. George,UT,2020,5.2,14,"St. George, UT"
Lewiston,ID,2020,5.3,15,"Lewiston, ID"
Lewiston,WA,2020,5.3,15,"Lewiston, WA"
Salt Lake City,UT,2020,5.3,15,"Salt Lake City, UT"
Grand Island,NE,2020,5.4,17,"Grand Island, NE"
Owensboro,KY,2020,5.4,17,"Owensboro, KY"
Lexington,KY,2020,5.5,19,"Lexington, KY"
Fayette,KY,2020,5.5,19,"Fayette, KY"
St. Joseph,MO,2020,5.5,19,"St. Joseph, MO"
St. Joseph,KS,2020,5.5,19,"St. Joseph, KS"
Sioux Falls,SD,2020,5.5,19,"Sioux Falls, SD"
Wausau,WI,2020,5.5,19,"Wausau, WI"
Gainesville,GA,2020,5.6,23,"Gainesville, GA"
Jefferson City,MO,2020,5.6,23,"Jefferson City, MO"
Fayetteville,AR,2020,5.7,25,"Fayetteville, AR"
Fayetteville,MO,2020,5.7,25,"Fayetteville, MO"
Springdale,AR,2020,5.7,25,"Springdale, AR"
Springdale,MO,2020,5.7,25,"Springdale, MO"
Rogers,AR,2020,5.7,25,"Rogers, AR"
Rogers,MO,2020,5.7,25,"Rogers, MO"
Cheyenne,WY,2020,5.8,26,"Cheyenne, WY"
College Station,TX,2020,5.8,26,"College Station, TX"
Bryan,TX,2020,5.8,26,"Bryan, TX"
Fond du Lac,WI,2020,5.8,26,"Fond du Lac, WI"
Grand Forks,ND,2020,5.8,26,"Grand Forks, ND"
Grand Forks,MN,2020,5.8,26,"Grand Forks, MN"
Sioux City,IA,2020,5.8,26,"Sioux City, IA"
Sioux City,NE,2020,5.8,26,"Sioux City, NE"
Sioux City,SD,2020,5.8,26,"Sioux City, SD"
Abilene,TX,2020,5.9,31,"Abilene, TX"
Appleton,WI,2020,5.9,31,"Appleton, WI"
Billings,MT,2020,5.9,31,"Billings, MT"
La Crosse,WI,2020,5.9,31,"La Crosse, WI"
La Crosse,MN,2020,5.9,31,"La Crosse, MN"
Onalaska,WI,2020,5.9,31,"Onalaska, WI"
Onalaska,MN,2020,5.9,31,"Onalaska, MN"
Madison,WI,2020,5.9,31,"Madison, WI"
Omaha,NE,2020,5.9,31,"Omaha, NE"
Omaha,IA,2020,5.9,31,"Omaha, IA"
Council Bluffs,NE,2020,5.9,31,"Council Bluffs, NE"
Council Bluffs,IA,2020,5.9,31,"Council Bluffs, IA"
Sherman,TX,2020,5.9,31,"Sherman, TX"
Denison,TX,2020,5.9,31,"Denison, TX"
California,MD,2020,6.0,38,"California, MD"
Lexington Park,MD,2020,6.0,38,"Lexington Park, MD"
Coeur d'Alene,ID,2020,6.0,38,"Coeur d'Alene, ID"
Oshkosh,WI,2020,6.0,38,"Oshkosh, WI"
Neenah,WI,2020,6.0,38,"Neenah, WI"
Great Falls,MT,2020,6.1,41,"Great Falls, MT"
Iowa City,IA,2020,6.1,41,"Iowa City, IA"
St. Cloud,MN,2020,6.1,41,"St. Cloud, MN"
Bowling Green,KY,2020,6.2,44,"Bowling Green, KY"
Elizabethtown,KY,2020,6.2,44,"Elizabethtown, KY"
Fort Knox,KY,2020,6.2,44,"Fort Knox, KY"
Fort Collins,CO,2020,6.2,44,"Fort Collins, CO"
Mankato,MN,2020,6.2,44,"Mankato, MN"
North Mankato,MN,2020,6.2,44,"North Mankato, MN"
Sheboygan,WI,2020,6.2,44,"Sheboygan, WI"
Winchester,VA,2020,6.2,44,"Winchester, VA"
Winchester,WV,2020,6.2,44,"Winchester, WV"
Huntsville,AL,2020,6.3,50,"Huntsville, AL"
Missoula,MT,2020,6.3,50,"Missoula, MT"
Springfield,MO,2020,6.3,50,"Springfield, MO"
Staunton,VA,2020,6.3,50,"Staunton, VA"
Waynesboro,VA,2020,6.3,50,"Waynesboro, VA"
Warner Robins,GA,2020,6.3,50,"Warner Robins, GA"
Decatur,AL,2020,6.4,55,"Decatur, AL"
Louisville,KY,2020,6.4,55,"Louisville, KY"
Louisville,IN,2020,6.4,55,"Louisville, IN"
Lubbock,TX,2020,6.4,55,"Lubbock, TX"
Cape Girardeau,MO,2020,6.5,58,"Cape Girardeau, MO"
Cape Girardeau,IL,2020,6.5,58,"Cape Girardeau, IL"
Hinesville,GA,2020,6.5,58,"Hinesville, GA"
Plano,TX,2020,6.5,58,"Plano, TX"
Waco,TX,2020,6.5,58,"Waco, TX"
Athens,GA,2020,6.6,61,"Athens, GA"
Clarke County,GA,2020,6.6,61,"Clarke County, GA"
Boulder,CO,2020,6.6,61,"Boulder, CO"
Enid,OK,2020,6.6,61,"Enid, OK"
Green Bay,WI,2020,6.6,61,"Green Bay, WI"
Joplin,MO,2020,6.6,61,"Joplin, MO"
Rochester,MN,2020,6.6,61,"Rochester, MN"
Austin,TX,2020,6.7,67,"Austin, TX"
Round Rock,TX,2020,6.7,67,"Round Rock, TX"
Eau Claire,WI,2020,6.7,67,"Eau Claire, WI"
Harrisonburg,VA,2020,6.7,67,"Harrisonburg, VA"
Jonesboro,AR,2020,6.7,67,"Jonesboro, AR"
Bloomington,IN,2020,6.8,71,"Bloomington, IN"
Columbus,IN,2020,6.8,71,"Columbus, IN"
Rapid City,SD,2020,6.8,71,"Rapid City, SD"
Blacksburg,VA,2020,6.9,74,"Blacksburg, VA"
Christiansburg,VA,2020,6.9,74,"Christiansburg, VA"
Radford,VA,2020,6.9,74,"Radford, VA"
Colorado Springs,CO,2020,6.9,74,"Colorado Springs, CO"
Des Moines,IA,2020,6.9,74,"Des Moines, IA"
West Des Moines,IA,2020,6.9,74,"West Des Moines, IA"
Evansville,IN,2020,6.9,74,"Evansville, IN"
Evansville,KY,2020,6.9,74,"Evansville, KY"
Grand Junction,CO,2020,6.9,74,"Grand Junction, CO"
Topeka,KS,2020,6.9,74,"Topeka, KS"
Waterloo,IA,2020,6.9,74,"Waterloo, IA"
Cedar Falls,IA,2020,6.9,74,"Cedar Falls, IA"
Crestview,FL,2020,7.0,81,"Crestview, FL"
Fort Walton Beach,FL,2020,7.0,81,"Fort Walton Beach, FL"
Destin,FL,2020,7.0,81,"Destin, FL"
Dubuque,IA,2020,7.0,81,"Dubuque, IA"
Hilton Head Island,SC,2020,7.0,81,"Hilton Head Island, SC"
Bluffton,SC,2020,7.0,81,"Bluffton, SC"
Beaufort,SC,2020,7.0,81,"Beaufort, SC"
Dothan,AL,2020,7.1,84,"Dothan, AL"
Killeen,TX,2020,7.1,84,"Killeen, TX"
Temple,TX,2020,7.1,84,"Temple, TX"
Lafayette,IN,2020,7.1,84,"Lafayette, IN"
West Lafayette,IN,2020,7.1,84,"West Lafayette, IN"
Oklahoma City,OK,2020,7.1,84,"Oklahoma City, OK"
Rome,GA,2020,7.1,84,"Rome, GA"
Wichita Falls,TX,2020,7.1,84,"Wichita Falls, TX"
Auburn,AL,2020,7.2,90,"Auburn, AL"
Opelika,AL,2020,7.2,90,"Opelika, AL"
Fort Smith,AR,2020,7.2,90,"Fort Smith, AR"
Fort Smith,OK,2020,7.2,90,"Fort Smith, OK"
Greeley,CO,2020,7.2,90,"Greeley, CO"
Tyler,TX,2020,7.2,90,"Tyler, TX"
Valdosta,GA,2020,7.2,90,"Valdosta, GA"
Augusta,GA,2020,7.3,95,"Augusta, GA"
Augusta,SC,2020,7.3,95,"Augusta, SC"
Richmond County,GA,2020,7.3,95,"Richmond County, GA"
Richmond County,SC,2020,7.3,95,"Richmond County, SC"
Lawton,OK,2020,7.3,95,"Lawton, OK"
San Angelo,TX,2020,7.3,95,"San Angelo, TX"
Alexandria,LA,2020,7.4,98,"Alexandria, LA"
Daphne,AL,2020,7.4,98,"Daphne, AL"
Fairhope,AL,2020,7.4,98,"Fairhope, AL"
Foley,AL,2020,7.4,98,"Foley, AL"
