city_id,city,state,city_state,areaname,countyname,total_pop,land_area,pop_density,male_pop,female_pop,age_under_20,age_20-29,age_30-39,age_40-49,age_50-59,age_above_60,unemployment_rate,rank,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4,fmr_pct_chg,fmr_dollar_chg,summer_maxtempF_mean,summer_mintempF_mean,summer_humidity_mean,winter_maxtempF_mean,winter_mintempF_mean,winter_humidity_mean,total_days_snowed,total_days_rained
0,Anchorage,AK,"Anchorage, AK","Anchorage, AK HUD Metro FMR Area",Anchorage Municipality,288000,1706.6,168.7565920543771,144557,143443,26.9,15.6,15.8,11.6,12.7,17.499999999999996,11.0,290,935,991,1305,1883,2291,-0.006092899999999999,-8,59,49,77,23,15,84,44,160
1,Chandler,AZ,"Chandler, AZ","Phoenix-Chandler-Glendale-Gilbert-Mesa-Scottsdale, AZ MSA",Maricopa County,261149,64.9,4023.867488443759,128039,133110,26.6,12.8,13.7,14.9,13.3,18.7,9.0,193,847,958,1173,1676,1916,0.093196645,100,101,83,30,67,49,39,0,88
2,Gilbert,AZ,"Gilbert, AZ","Phoenix-Chandler-Glendale-Gilbert-Mesa-Scottsdale, AZ MSA",Maricopa County,254115,68.0,3736.9852941176473,124231,129884,32.3,11.5,13.6,17.0,11.1,14.500000000000002,8.2,143,847,958,1173,1676,1916,0.093196645,100,100,83,30,66,49,39,0,85
3,Glendale,AZ,"Glendale, AZ","Phoenix-Chandler-Glendale-Gilbert-Mesa-Scottsdale, AZ MSA",Maricopa County,252384,59.1,4270.456852791878,125841,126543,28.1,14.3,13.0,12.4,13.4,18.8,10.9,285,847,958,1173,1676,1916,0.093196645,100,100,83,29,66,49,38,0,79
4,Mesa,AZ,"Mesa, AZ","Phoenix-Chandler-Glendale-Gilbert-Mesa-Scottsdale, AZ MSA",Maricopa County,517981,137.9,3756.2073966642492,257105,260876,27.0,15.0,13.4,11.7,10.7,22.300000000000004,10.3,259,847,958,1173,1676,1916,0.093196645,100,100,83,30,66,49,39,0,85
5,Phoenix,AZ,"Phoenix, AZ","Phoenix-Chandler-Glendale-Gilbert-Mesa-Scottsdale, AZ MSA",Maricopa County,1680988,517.6,3247.658423493045,838675,842313,27.8,15.0,15.1,13.7,12.1,16.200000000000006,10.3,259,847,958,1173,1676,1916,0.093196645,100,102,84,28,67,50,38,1,74
6,Scottsdale,AZ,"Scottsdale, AZ","Phoenix-Chandler-Glendale-Gilbert-Mesa-Scottsdale, AZ MSA",Maricopa County,258064,183.9,1403.284393692224,124930,133134,15.000000000000002,13.7,10.5,10.8,15.2,34.8,10.3,259,847,958,1173,1676,1916,0.093196645,100,101,83,29,67,50,38,0,89
7,Tucson,AZ,"Tucson, AZ","Tucson, AZ MSA",Pima County,548082,230.8,2374.7053726169847,274387,273695,23.8,20.0,13.6,10.9,10.7,20.700000000000006,10.5,269,618,721,949,1369,1618,0.0509413,46,93,76,37,64,45,39,1,93
8,Anaheim,CA,"Anaheim, CA","Santa Ana-Anaheim-Irvine, CA HUD Metro FMR Area",Orange County,350351,50.0,7007.02,173279,177072,24.3,18.2,13.8,13.4,13.1,17.1,16.8,381,1563,1785,2216,3098,3578,0.087874325,179,82,66,60,66,52,56,0,83
9,Bakersfield,CA,"Bakersfield, CA","Bakersfield, CA MSA",Kern County,384159,148.8,2581.713709677419,192743,191416,32.6,15.0,14.7,12.2,10.0,15.6,16.5,380,711,726,946,1365,1624,0.0215983,20,95,65,32,62,42,58,0,106
