city_id,city,state,city_state,total_pop,land_area,pop_density,male_pop,female_pop,age_under_20,age_20-29,age_30-39,age_40-49,age_50-59,age_above_60
0,Anchorage,AK,"Anchorage, AK",288000,1706.6,168.75659205437714,144557,143443,26.9,15.6,15.8,11.6,12.7,17.499999999999996
1,Chandler,AZ,"Chandler, AZ",261149,64.9,4023.867488443759,128039,133110,26.6,12.8,13.7,14.9,13.3,18.7
2,Gilbert,AZ,"Gilbert, AZ",254115,68.0,3736.985294117647,124231,129884,32.3,11.5,13.6,17.0,11.1,14.500000000000002
3,Glendale,AZ,"Glendale, AZ",252384,59.1,4270.456852791878,125841,126543,28.1,14.3,13.0,12.4,13.4,18.8
4,Mesa,AZ,"Mesa, AZ",517981,137.9,3756.2073966642492,257105,260876,27.0,15.0,13.4,11.7,10.7,22.300000000000004
5,Phoenix,AZ,"Phoenix, AZ",1680988,517.6,3247.6584234930447,838675,842313,27.8,15.0,15.1,13.7,12.1,16.200000000000006
6,Scottsdale,AZ,"Scottsdale, AZ",258064,183.9,1403.284393692224,124930,133134,15.000000000000002,13.7,10.5,10.8,15.2,34.8
7,Tucson,AZ,"Tucson, AZ",548082,230.8,2374.7053726169843,274387,273695,23.8,20.0,13.6,10.9,10.7,20.700000000000006
8,Anaheim,CA,"Anaheim, CA",350351,50.0,7007.02,173279,177072,24.3,18.2,13.8,13.4,13.1,17.1
9,Bakersfield,CA,"Bakersfield, CA",384159,148.8,2581.713709677419,192743,191416,32.6,15.0,14.7,12.2,10.0,15.6
10,Fresno,CA,"Fresno, CA",531581,114.4,4646.687062937062,262650,268931,30.6,16.4,15.4,11.0,10.1,16.400000000000002
11,Long Beach,CA,"Long Beach, CA",462645,50.3,9197.713717693838,231069,231576,24.2,15.6,16.1,13.3,12.6,18.2
12,Los Angeles,CA,"Los Angeles, CA",3979537,468.7,8490.584595690207,1968648,2010889,22.9,16.7,16.5,13.4,12.2,18.2
13,Oakland,CA,"Oakland, CA",433044,55.9,7746.762075134168,205877,227167,21.9,14.5,18.8,15.2,10.9,18.8
14,Sacramento,CA,"Sacramento, CA",513620,97.9,5246.373850868233,254555,259065,25.1,16.200000000000006,16.9,11.8,11.1,19.1
15,San Diego,CA,"San Diego, CA",1423852,325.2,4378.388683886839,717749,706103,22.7,17.8,16.7,12.7,11.4,18.8
16,San Francisco,CA,"San Francisco, CA",881549,46.9,18796.3539445629,447416,434133,15.0,16.700000000000006,21.3,13.3,12.1,21.6
17,San Jose,CA,"San Jose, CA",1021786,177.5,5756.540845070423,516559,505227,24.300000000000004,14.3,15.4,13.9,13.2,19.1
18,Santa Ana,CA,"Santa Ana, CA",332332,27.1,12263.173431734316,171435,160897,29.0,15.3,16.2,13.5,11.0,14.999999999999998
19,Aurora,CO,"Aurora, CO",379312,153.5,2471.087947882736,190556,188756,27.1,15.2,16.200000000000006,13.6,11.0,16.8
20,Colorado Springs,CO,"Colorado Springs, CO",478215,195.6,2444.8619631901843,239537,238678,24.1,17.5,14.5,11.8,11.2,21.0
21,Denver,CO,"Denver, CO",727211,153.3,4743.711676451402,364631,362580,21.1,18.0,20.9,13.1,10.1,16.8
22,Washington,DC,"Washington, DC",705749,61.1,11550.720130932898,334355,371394,21.2,18.8,20.3,12.3,10.4,17.0
23,Fort Lauderdale,FL,"Fort Lauderdale, FL",182434,34.6,5272.658959537572,93755,88679,19.4,13.0,16.0,12.1,12.2,27.1
24,Jacksonville,FL,"Jacksonville, FL",911528,747.4,1219.5986085094996,440108,471420,25.0,15.1,15.2,11.7,12.7,20.4
25,Miami,FL,"Miami, FL",467968,36.0,12999.111111111111,231740,236228,18.6,13.1,17.2,14.1,13.5,23.3
26,Orlando,FL,"Orlando, FL",287435,105.2,2732.2718631178705,137479,149956,23.5,16.4,20.6,14.9,9.2,15.5
27,St. Petersburg,FL,"St. Petersburg, FL",265358,61.8,4293.818770226538,131640,133718,18.2,12.9,14.7,11.8,13.2,29.0
28,Tallahassee,FL,"Tallahassee, FL",194503,100.4,1937.2808764940237,91758,102745,25.3,29.9,12.0,9.3,8.8,14.699999999999998
29,Tampa,FL,"Tampa, FL",399690,113.4,3524.6031746031745,197280,202410,25.1,15.3,15.2,13.8,11.8,18.8
30,Atlanta,GA,"Atlanta, GA",506804,133.5,3796.2846441947568,242284,264520,21.0,21.7,16.9,12.7,10.8,16.9
