city_id,city,state,city_state,total_pop,land_area,pop_density,male_pop,female_pop,age_under_20,age_20-29,age_30-39,age_40-49,age_50-59,age_above_60
0,Anchorage,AK,"Anchorage, AK",291538,1706.6,170.82971991093402,148668,142870,27.1,16.0,15.0,12.2,13.0,16.6
1,Chandler,AZ,"Chandler, AZ",257153,64.9,3962.2958397534667,126583,130570,27.0,12.8,15.3,14.6,13.3,17.2
2,Gilbert,AZ,"Gilbert, AZ",248269,68.0,3651.014705882353,120840,127429,33.0,10.3,14.2,16.0,11.2,15.4
3,Glendale,AZ,"Glendale, AZ",250705,59.1,4242.047377326565,124205,126500,28.9,14.5,13.4,12.7,11.4,19.1
4,Mesa,AZ,"Mesa, AZ",508979,137.9,3690.9282088469904,250913,258066,26.9,14.4,13.7,12.1,11.1,21.8
5,Phoenix,AZ,"Phoenix, AZ",1660272,517.6,3207.6352395672334,824568,835704,28.4,15.8,14.7,13.3,11.8,15.9
6,Scottsdale,AZ,"Scottsdale, AZ",255315,183.9,1388.3360522022838,126458,128857,17.4,12.9,11.3,13.2,14.8,30.4
7,Tucson,AZ,"Tucson, AZ",545987,230.8,2365.628249566724,268484,277503,25.20000000000001,19.8,12.8,11.3,10.6,20.1
8,Anaheim,CA,"Anaheim, CA",352018,50.0,7040.36,170041,181977,27.5,15.0,16.3,12.6,11.8,16.7
9,Bakersfield,CA,"Bakersfield, CA",383601,148.8,2577.963709677419,192252,191349,32.3,15.9,14.2,11.9,10.1,15.6
10,Fresno,CA,"Fresno, CA",530073,114.4,4633.505244755244,261641,268432,31.1,16.5,14.0,11.4,11.1,16.0
11,Long Beach,CA,"Long Beach, CA",467353,50.3,9291.31212723658,230683,236670,23.2,16.9,16.0,12.6,13.5,17.6
12,Los Angeles,CA,"Los Angeles, CA",3990469,468.7,8513.908683592917,1995286,1995183,22.8,16.9,16.5,13.2,12.3,18.1
13,Oakland,CA,"Oakland, CA",429114,55.9,7676.4579606440075,204202,224912,21.1,15.2,19.3,14.2,11.6,18.8
14,Sacramento,CA,"Sacramento, CA",508517,97.9,5194.2492339121545,247463,261054,25.7,15.9,16.6,12.5,10.6,18.7
15,San Diego,CA,"San Diego, CA",1425999,325.2,4384.990774907749,719960,706039,22.8,17.3,16.799999999999994,12.7,11.7,18.6
16,San Francisco,CA,"San Francisco, CA",883305,46.9,18833.795309168443,450985,432320,15.2,17.0,20.8,13.7,11.8,21.6
17,San Jose,CA,"San Jose, CA",1030119,177.5,5803.487323943662,515713,514406,24.20000000000001,14.3,16.0,14.0,12.9,18.6
