city_id,city,state,city_state,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4,areaname,countyname,fmr_pct_chg,fmr_dollar_chg
0,Anchorage,AK,"Anchorage, AK",935,991,1305,1883,2291,"Anchorage, AK HUD Metro FMR Area",Anchorage Municipality,-0.006092899999999999,-8
1,Chandler,AZ,"Chandler, AZ",847,958,1173,1676,1916,"Phoenix-Chandler-Glendale-Gilbert-Mesa-Scottsdale, AZ MSA",Maricopa County,0.093196645,100
2,Gilbert,AZ,"Gilbert, AZ",847,958,1173,1676,1916,"Phoenix-Chandler-Glendale-Gilbert-Mesa-Scottsdale, AZ MSA",Maricopa County,0.093196645,100
3,Glendale,AZ,"Glendale, AZ",847,958,1173,1676,1916,"Phoenix-Chandler-Glendale-Gilbert-Mesa-Scottsdale, AZ MSA",Maricopa County,0.093196645,100
4,Mesa,AZ,"Mesa, AZ",847,958,1173,1676,1916,"Phoenix-Chandler-Glendale-Gilbert-Mesa-Scottsdale, AZ MSA",Maricopa County,0.093196645,100
5,Phoenix,AZ,"Phoenix, AZ",847,958,1173,1676,1916,"Phoenix-Chandler-Glendale-Gilbert-Mesa-Scottsdale, AZ MSA",Maricopa County,0.093196645,100
6,Scottsdale,AZ,"Scottsdale, AZ",847,958,1173,1676,1916,"Phoenix-Chandler-Glendale-Gilbert-Mesa-Scottsdale, AZ MSA",Maricopa County,0.093196645,100
7,Tucson,AZ,"Tucson, AZ",618,721,949,1369,1618,"Tucson, AZ MSA",Pima County,0.0509413,46
8,Anaheim,CA,"Anaheim, CA",1563,1785,2216,3098,3578,"Santa Ana-Anaheim-Irvine, CA HUD Metro FMR Area",Orange County,0.087874325,179
9,Bakersfield,CA,"Bakersfield, CA",711,726,946,1365,1624,"Bakersfield, CA MSA",Kern County,0.0215983,20
10,Fresno,CA,"Fresno, CA",691,787,980,1395,1621,"Fresno, CA MSA",Fresno County,0.025104599999999998,24
11,Long Beach,CA,"Long Beach, CA",1279,1517,1956,2614,2857,"Los Angeles-Long Beach-Glendale, CA HUD Metro FMR Area",Los Angeles County,0.09212730300000001,165
12,Los Angeles,CA,"Los Angeles, CA",1279,1517,1956,2614,2857,"Los Angeles-Long Beach-Glendale, CA HUD Metro FMR Area",Los Angeles County,0.09212730300000001,165
13,Oakland,CA,"Oakland, CA",1488,1808,2239,3042,3720,"Oakland-Fremont, CA HUD Metro FMR Area",Alameda County,0.0531515,113
14,Sacramento,CA,"Sacramento, CA",952,1072,1349,1946,2368,"Sacramento--Roseville--Arden-Arcade, CA HUD Metro FMR Area",El Dorado County,0.105737705,129
15,San Diego,CA,"San Diego, CA",1404,1566,2037,2894,3576,"San Diego-Carlsbad, CA MSA",San Diego County,-0.01499,-31
16,San Francisco,CA,"San Francisco, CA",2197,2720,3339,4365,4657,"San Francisco, CA HUD Metro FMR Area",Marin County,0.05331230000000001,169
17,San Jose,CA,"San Jose, CA",2103,2458,2970,3943,4525,"San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area",Santa Clara County,0.046143,131
18,Santa Ana,CA,"Santa Ana, CA",1563,1785,2216,3098,3578,"Santa Ana-Anaheim-Irvine, CA HUD Metro FMR Area",Orange County,0.087874325,179
19,Aurora,CO,"Aurora, CO",1114,1260,1566,2163,2488,"Denver-Aurora-Lakewood, CO MSA",Adams County,0.0384615,58
20,Colorado Springs,CO,"Colorado Springs, CO",743,897,1141,1646,2003,"Colorado Springs, CO HUD Metro FMR Area",El Paso County,0.072368421,77
21,Denver,CO,"Denver, CO",1114,1260,1566,2163,2488,"Denver-Aurora-Lakewood, CO MSA",Adams County,0.0384615,58
22,Washington,DC,"Washington, DC",1457,1500,1707,2215,2707,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",District of Columbia,0.0252252,42
